,ComponentAge,MonthlyRunTime,Location,FlowRate,MaxOutputRate,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor5.1,DaysSinceMaintenance,Target,A,Location A
68,0.37,11.5,A,0.99238,78.0,7.4,7.25,0.25,2.94,0.28,0.028,14.0,1,1,1
69,0.55,12.2,A,0.99226,143.0,6.8,7.4,0.33,3.06,0.31,0.045,34.0,0,1,1
70,0.67,10.8,B,0.99728,37.0,10.2,2.2,0.41,3.16,0.43,0.11,11.0,0,0,0
71,0.33,11.8,A,0.99058,97.0,5.9,5.0,0.27,3.1,0.27,0.035,14.0,1,1,1
72,0.63,12.8,B,0.99378,11.0,5.6,2.2,0.66,3.71,0.0,0.087,3.0,1,0,0
73,0.68,9.9,B,0.9976,52.0,6.8,1.8,0.77,3.62,0.0,0.066,34.0,0,0,0
74,0.61,10.0,B,0.99735,32.0,8.0,2.0,0.59,3.36,0.05,0.089,12.0,0,0,0
75,0.71,10.5,B,0.9979,18.0,11.0,2.0,0.2,3.3,0.48,0.343,6.0,0,0,0
76,0.87,11.3,B,0.9972,18.0,10.6,2.7,0.42,3.21,0.48,0.065,5.0,0,0,0
77,0.55,9.1,A,0.9971,172.0,7.2,9.5,0.685,3.0,0.21,0.07,33.0,0,1,1
78,0.62,12.2,B,0.99674,8.0,10.0,2.9,0.46,3.33,0.44,0.065,4.0,0,0,0
79,0.31,10.8,A,0.9897,21.0,5.9,0.8,0.19,3.09,0.37,0.027,3.0,0,1,1
80,0.41,9.1,A,0.99561,133.0,6.3,10.1,0.19,2.86,0.33,0.063,63.0,0,1,1
81,0.55,11.5,B,0.99488,14.0,7.1,2.1,0.59,3.42,0.0,0.091,9.0,1,0,0
82,0.47,10.0,B,0.9956,19.0,7.0,2.0,0.78,3.4,0.08,0.093,10.0,0,0,0
83,0.64,10.4,B,0.9956,54.0,7.1,1.9,0.46,3.37,0.2,0.077,28.0,0,0,0
84,0.67,9.3,B,0.9984,17.0,10.8,2.2,0.4,3.08,0.41,0.084,7.0,0,0,0
85,0.5,9.8,B,0.99656,31.0,8.1,2.2,0.87,3.25,0.0,0.084,10.0,0,0,0
86,0.58,13.1,A,0.98963,86.0,5.8,4.9,0.3,3.23,0.38,0.039,22.0,1,1,1
87,1.05,9.4,B,0.9986,18.0,10.6,2.2,0.36,3.04,0.59,0.152,6.0,0,0,0
88,0.34,12.9,A,0.98936,80.0,7.3,2.3,0.22,3.06,0.31,0.018,45.0,1,1,1
89,0.39,11.4,A,0.9938,193.0,7.0,6.8,0.27,3.23,0.32,0.047,47.0,0,1,1
90,0.5,9.4,A,0.99566,184.0,7.0,6.1,0.27,3.2,0.48,0.042,60.0,0,1,1
91,0.52,10.9,A,0.99176,138.0,7.9,2.0,0.21,3.05,0.39,0.057,21.0,0,1,1
92,0.65,9.0,B,0.9984,38.0,7.8,1.9,0.52,3.43,0.25,0.081,14.0,0,0,0
93,0.48,9.5,B,0.9961,94.0,7.7,1.9,0.69,3.31,0.22,0.084,18.0,0,0,0
94,0.54,9.4,A,0.9937,160.0,6.7,1.4,0.3,3.11,0.35,0.18,36.0,0,1,1
95,0.63,10.5,B,0.9966,62.0,9.4,2.2,0.4,3.07,0.31,0.09,13.0,0,0,0
96,0.58,10.5,A,0.9922,97.0,6.1,1.1,0.16,3.4,0.37,0.031,37.0,0,1,1
97,0.79,9.6,A,0.998,140.0,7.3,12.7,0.28,3.3,0.36,0.04,38.0,0,1,1
98,0.58,9.3,B,0.9971,65.0,6.8,1.8,0.61,3.54,0.2,0.077,11.0,0,0,0
99,0.65,9.8,B,0.997,54.0,7.8,2.3,0.76,3.26,0.04,0.092,15.0,0,0,0
100,0.42,12.8,A,0.98912,142.0,6.0,1.9,0.32,3.29,0.3,0.033,41.0,1,1,1
101,0.43,8.7,A,0.9984,135.0,7.4,15.5,0.16,2.9,0.27,0.05,25.0,1,1,1
102,0.75,10.2,B,0.9984,26.0,9.3,2.6,0.39,3.34,0.4,0.073,10.0,0,0,0
103,0.31,11.5,A,0.991,150.0,5.6,4.4,0.21,3.3,0.24,0.027,37.0,1,1,1
104,0.64,10.9,A,0.9937,128.0,7.1,2.2,0.26,3.34,0.31,0.044,29.0,1,1,1
105,0.37,12.2,A,0.9914,190.0,6.9,2.0,0.18,3.32,0.3,0.038,39.0,0,1,1
106,0.48,9.2,A,0.9993,220.0,8.0,12.1,0.61,2.94,0.38,0.301,24.0,0,1,1
107,0.82,11.9,A,0.9919,111.0,6.9,2.2,0.12,3.41,0.36,0.037,18.0,1,1,1
108,0.4,11.0,A,0.99216,147.0,6.4,4.6,0.23,3.18,0.35,0.039,43.0,1,1,1
109,0.76,9.5,A,0.9953,164.0,6.6,5.6,0.23,3.27,0.27,0.043,43.0,0,1,1
110,0.4,9.0,A,0.9957,206.0,6.9,7.3,0.34,3.09,0.49,0.045,61.0,0,1,1
111,0.43,11.2,A,0.99174,138.0,6.2,4.8,0.39,3.23,0.24,0.037,45.0,1,1,1
112,0.82,12.9,B,0.9924,88.0,5.6,1.4,0.85,3.56,0.05,0.045,12.0,1,0,0
113,0.6,11.5,A,0.99114,138.0,6.5,1.4,0.18,3.36,0.33,0.029,35.0,1,1,1
114,0.39,11.7,A,0.99064,100.0,6.7,2.4,0.28,3.26,0.28,0.012,36.0,1,1,1
115,0.38,9.4,A,0.9956,201.0,6.6,6.5,0.26,3.19,0.38,0.17,68.0,0,1,1
116,0.34,9.2,A,0.99344,113.0,6.1,3.9,0.38,3.07,0.14,0.06,27.0,0,1,1
117,0.45,8.7,A,0.9974,155.0,7.1,11.8,0.43,3.11,0.61,0.045,54.0,0,1,1
118,0.46,11.8,A,0.9921,99.0,6.8,5.1,0.24,3.24,0.34,0.038,31.0,0,1,1
119,0.4,9.5,A,0.99663,136.0,7.1,11.2,0.31,3.14,0.25,0.048,32.0,0,1,1
120,0.36,8.8,A,0.99286,82.0,5.9,0.8,0.54,3.25,0.0,0.032,12.0,0,1,1
121,1.03,11.6,B,0.99476,14.0,7.5,3.1,0.58,3.21,0.56,0.153,5.0,0,0,0
122,0.43,11.1,A,0.9914,93.0,6.4,2.2,0.16,3.31,0.28,0.042,33.0,0,1,1
123,0.85,12.0,B,0.999,76.0,10.4,6.55,0.44,3.17,0.73,0.074,38.0,1,0,0
124,0.47,10.4,A,0.99568,154.0,7.2,8.7,0.32,3.2,0.4,0.038,45.0,0,1,1
125,0.42,10.0,A,0.9921,138.0,6.7,1.3,0.27,3.21,0.12,0.041,62.0,0,1,1
126,0.61,9.8,A,0.9928,153.0,6.0,2.2,0.26,3.08,0.5,0.048,59.0,0,1,1
127,0.37,9.7,A,0.9983,113.0,8.0,13.2,0.29,3.25,0.29,0.046,26.0,0,1,1
128,0.5,10.8,A,0.9928,190.0,7.7,1.8,0.24,3.23,0.27,0.051,52.0,0,1,1
129,0.52,10.1,A,0.99472,176.0,6.7,8.1,0.23,3.11,0.33,0.048,45.0,0,1,1
130,0.49,10.0,A,0.99624,193.0,7.1,11.8,0.38,3.04,0.42,0.041,32.0,0,1,1
131,0.68,9.5,A,0.995,140.0,6.5,5.2,0.19,3.26,0.26,0.04,31.0,0,1,1
132,0.43,10.6,A,0.9959,169.0,8.0,7.1,0.28,3.17,0.42,0.045,41.0,0,1,1
133,0.45,9.4,A,0.99985,172.0,6.1,16.7,0.27,3.4,0.3,0.039,49.0,0,1,1
134,0.72,11.2,A,0.99066,146.0,6.3,1.1,0.13,3.13,0.42,0.043,63.0,1,1,1
135,0.51,10.4,A,0.992,85.0,7.2,1.3,0.21,3.17,0.41,0.036,33.0,0,1,1
136,0.65,11.6,B,0.99643,13.0,10.1,2.4,0.38,3.22,0.5,0.104,6.0,1,0,0
137,0.3,11.4,A,0.98993,89.0,7.1,1.25,0.27,2.95,0.28,0.023,3.0,0,1,1
138,0.76,9.6,A,0.9948,150.0,7.9,1.6,0.17,3.29,0.32,0.053,47.0,0,1,1
139,0.44,8.7,A,0.99825,168.0,7.4,13.7,0.16,2.9,0.3,0.056,33.0,1,1,1
140,0.43,9.5,A,0.99755,175.0,5.8,11.1,0.25,3.42,0.28,0.056,45.0,0,1,1
141,0.3,11.1,A,0.9941,209.0,7.5,7.7,0.23,3.14,0.49,0.049,61.0,1,1,1
142,0.43,11.3,A,0.99182,117.0,6.3,4.2,0.17,3.24,0.32,0.04,37.0,0,1,1
143,0.4,10.8,A,0.9916,103.0,7.6,1.6,0.14,3.07,0.74,0.04,27.0,1,1,1
144,0.67,10.0,B,0.99692,21.0,9.0,1.7,0.785,3.29,0.24,0.078,10.0,0,0,0
145,0.9,11.7,A,0.9925,114.0,7.1,1.8,0.13,3.32,0.38,0.046,14.0,0,1,1
146,0.49,9.8,A,0.9972,177.0,7.0,13.0,0.23,3.16,0.36,0.051,72.0,0,1,1
147,0.37,12.0,A,0.98953,61.0,5.2,1.7,0.21,3.24,0.31,0.048,17.0,1,1,1
148,0.39,9.2,A,0.9937,63.0,7.0,3.5,0.34,3.01,0.1,0.044,17.0,0,1,1
149,0.5,9.3,A,0.99288,99.0,7.1,1.4,0.34,2.92,0.86,0.174,36.0,0,1,1
150,0.52,9.2,B,0.99823,88.0,8.8,2.5,0.42,3.19,0.21,0.092,33.0,0,0,0
151,0.45,9.4,A,0.99396,168.0,6.6,4.4,0.2,2.93,0.14,0.184,35.0,0,1,1
152,0.93,12.4,B,0.9934,35.0,6.4,2.2,0.36,3.37,0.53,0.23,19.0,0,0,0
153,0.48,12.4,A,0.99,92.0,6.6,2.2,0.29,3.12,0.73,0.027,21.0,0,1,1
154,0.48,12.8,A,0.99016,128.0,5.9,5.0,0.65,3.46,0.23,0.035,20.0,0,1,1
155,0.4,13.1,A,0.98922,124.0,6.1,3.0,0.33,3.31,0.3,0.036,30.0,1,1,1
156,0.52,10.0,B,0.99608,11.0,7.2,2.0,0.835,3.39,0.0,0.166,4.0,0,0,0
157,0.55,11.2,A,0.99316,156.0,6.4,4.9,0.22,3.38,0.32,0.046,50.0,0,1,1
158,0.64,11.0,A,0.992,102.0,7.2,2.2,0.24,3.27,0.29,0.037,37.0,1,1,1
159,0.44,10.1,A,0.9951,97.0,8.1,6.9,0.28,3.26,0.4,0.05,30.0,0,1,1
160,0.45,9.5,B,0.99448,26.0,6.0,1.4,0.5,3.36,0.0,0.057,15.0,0,0,0
161,0.44,11.8,A,0.99108,116.0,6.0,3.8,0.34,3.39,0.32,0.044,13.0,1,1,1
162,0.96,9.9,B,0.9983,23.0,7.3,2.0,0.66,3.61,0.0,0.084,6.0,0,0,0
163,0.66,11.1,B,0.99622,38.0,9.6,2.1,0.42,3.23,0.35,0.083,17.0,0,0,0
164,0.42,9.2,A,0.99652,110.0,7.6,7.1,0.18,3.2,0.28,0.041,29.0,0,1,1
165,0.52,12.7,A,0.98865,104.0,6.0,1.3,0.2,3.11,0.38,0.034,37.0,0,1,1
166,0.51,10.2,A,0.9948,124.0,8.0,5.7,0.3,3.16,0.28,0.044,31.0,0,1,1
167,0.45,10.3,A,0.99293,126.0,7.5,1.3,0.28,3.28,0.41,0.044,11.0,0,1,1
168,0.42,9.2,A,0.998,107.0,7.1,14.45,0.26,2.96,0.32,0.074,29.0,0,1,1
169,0.65,12.9,A,0.9898,126.0,6.0,2.2,0.25,3.43,0.28,0.026,54.0,1,1,1
170,0.44,11.9,A,0.9908,167.0,7.7,1.2,0.18,3.11,0.53,0.041,42.0,0,1,1
171,0.56,9.1,A,1.00014,253.0,8.3,17.5,0.28,3.02,0.27,0.045,48.0,0,1,1
172,0.54,9.8,A,0.9958,176.0,6.9,8.1,0.18,3.3,0.38,0.049,44.0,0,1,1
173,0.44,10.2,A,0.9936,136.0,7.3,3.2,0.34,3.25,0.21,0.05,14.0,0,1,1
174,0.57,9.4,A,0.99884,170.0,6.3,17.2,0.33,3.26,0.42,0.037,57.0,0,1,1
175,0.39,10.8,A,0.9959,116.0,8.4,12.15,0.58,2.99,0.27,0.033,37.0,0,1,1
176,0.55,11.4,B,0.99605,12.0,7.5,2.3,0.38,3.36,0.57,0.106,5.0,0,0,0
177,0.82,14.0,B,0.9908,87.0,5.5,1.8,0.49,3.5,0.03,0.044,28.0,1,0,0
178,0.5,9.2,A,0.99904,139.0,6.6,18.15,0.26,3.06,0.22,0.05,23.0,0,1,1
180,0.53,11.2,A,0.99138,132.0,7.4,2.6,0.25,3.04,0.37,0.05,24.0,0,1,1
181,0.39,10.0,A,0.992,159.0,6.7,1.4,0.28,3.17,0.14,0.043,64.0,0,1,1
182,0.68,10.55,B,0.99514,24.0,7.0,1.7,0.56,3.44,0.17,0.065,15.0,1,0,0
183,0.46,10.0,B,0.99586,16.0,7.2,3.0,1.0,3.43,0.0,0.102,7.0,0,0,0
184,0.41,12.3,A,0.99116,176.0,6.8,5.2,0.43,3.17,0.26,0.043,40.0,0,1,1
185,0.61,10.5,A,0.994,122.0,7.1,2.4,0.25,3.43,0.3,0.042,25.0,0,1,1
187,0.46,10.3,A,0.9969,208.0,7.9,11.1,0.29,3.14,0.36,0.033,43.0,0,1,1
188,0.6,10.3,B,0.99564,36.0,7.2,2.3,0.57,3.38,0.05,0.081,16.0,0,0,0
190,0.71,11.3,B,0.99519,36.0,6.4,2.3,0.57,3.47,0.12,0.12,25.0,1,0,0
191,0.46,12.2,A,0.99122,165.0,6.7,5.3,0.45,3.12,0.3,0.036,27.0,0,1,1
192,0.4,9.4,A,0.99628,140.0,6.6,10.1,0.36,3.07,0.52,0.05,29.0,0,1,1
193,0.35,11.5,A,0.99153,117.0,7.8,3.15,0.29,3.24,0.29,0.044,41.0,0,1,1
194,0.45,12.4,A,0.99002,103.0,8.0,1.2,0.27,3.0,0.33,0.05,41.0,0,1,1
195,0.51,11.2,A,0.9906,68.0,5.6,1.3,0.34,3.36,0.1,0.031,20.0,1,1,1
196,0.47,10.7,A,0.9944,116.0,8.3,2.5,0.49,3.23,0.43,0.036,32.0,0,1,1
197,0.82,8.9,A,1.0004,170.0,8.4,11.8,0.2,3.34,0.38,0.055,51.0,0,1,1
198,0.56,10.6,B,0.9988,32.0,9.5,1.9,0.78,3.26,0.22,0.077,6.0,0,0,0
199,0.82,10.6,B,0.99676,47.0,9.9,1.5,0.35,3.26,0.38,0.058,31.0,1,0,0
200,0.39,10.2,A,0.99271,133.0,6.8,1.3,0.63,3.17,0.04,0.058,25.0,0,1,1
201,0.47,11.8,A,0.99206,105.0,6.6,5.5,0.22,3.2,0.36,0.029,30.0,0,1,1
202,0.46,12.3,A,0.98993,76.0,6.3,1.5,0.32,3.3,0.32,0.037,12.0,0,1,1
203,0.58,9.5,B,0.9969,37.0,8.7,1.6,0.29,3.25,0.52,0.113,12.0,0,0,0
205,0.54,10.1,A,0.9936,165.0,7.6,2.1,0.21,3.05,0.6,0.046,47.0,1,1,1
206,0.54,11.5,B,0.9948,9.0,6.1,2.2,0.56,3.59,0.0,0.079,6.0,0,0,0
207,0.59,11.0,A,0.9931,141.0,7.3,5.2,0.26,3.16,0.36,0.04,31.0,0,1,1
208,0.47,9.3,A,0.99657,91.0,7.0,10.7,0.39,3.03,0.21,0.098,13.0,0,1,1
209,0.44,11.2,A,0.992,78.0,6.6,1.6,0.16,3.38,0.3,0.034,15.0,0,1,1
210,0.6,10.4,B,0.99822,43.0,8.6,2.8,0.83,3.33,0.0,0.095,17.0,0,0,0
211,0.52,9.9,B,0.99584,104.0,7.3,2.0,0.59,3.28,0.26,0.08,17.0,0,0,0
212,0.36,10.1,A,0.996,125.0,7.5,9.1,0.42,3.12,0.45,0.029,20.0,0,1,1
213,0.48,9.4,A,0.9965,162.0,7.0,5.3,0.39,3.2,0.31,0.169,32.0,0,1,1
214,0.67,10.4,A,0.9934,127.0,6.4,1.6,0.18,3.6,0.31,0.049,36.0,1,1,1
215,0.5,10.5,A,0.99256,161.0,6.3,3.3,0.25,3.16,0.22,0.048,41.0,0,1,1
216,0.45,9.2,A,0.99782,94.0,6.1,15.8,0.25,3.07,0.48,0.052,25.0,0,1,1
217,0.62,12.4,B,0.99408,12.0,8.3,2.1,0.28,3.26,0.48,0.093,6.0,1,0,0
218,0.37,10.1,A,0.9939,167.0,8.3,1.7,0.2,3.05,0.49,0.038,38.0,0,1,1
219,0.41,11.8,A,0.9916,101.0,6.5,4.9,0.19,3.17,0.27,0.037,13.0,0,1,1
220,0.69,10.9,B,0.99628,35.0,7.8,1.9,0.7,3.4,0.06,0.079,20.0,0,0,0
221,0.52,10.9,A,0.995,132.0,7.9,5.9,0.18,3.25,0.36,0.058,31.0,0,1,1
222,0.69,11.4,A,0.99053,79.0,6.5,1.7,0.29,3.27,0.31,0.035,24.0,1,1,1
223,0.39,13.0,A,0.99313,132.0,8.4,11.1,0.36,2.95,0.36,0.032,21.0,0,1,1
224,0.64,10.2,A,0.99463,170.0,7.1,4.0,0.32,3.27,0.29,0.038,33.0,0,1,1
225,0.73,9.7,B,0.99683,54.0,6.9,1.9,0.58,3.4,0.01,0.08,40.0,0,0,0
226,0.85,11.0,B,0.99534,44.0,7.2,2.1,0.36,3.4,0.46,0.074,24.0,1,0,0
227,1.06,9.1,B,0.9979,26.0,8.4,1.8,0.37,3.06,0.53,0.413,9.0,0,0,0
229,0.42,8.8,A,0.9999,144.0,7.0,18.05,0.23,3.22,0.42,0.05,35.0,0,1,1
230,0.54,12.8,A,0.98902,96.0,6.3,2.0,0.19,3.04,0.29,0.022,33.0,1,1,1
231,0.65,10.9,A,0.9913,121.0,6.8,2.9,0.21,3.07,0.31,0.046,40.0,1,1,1
232,0.48,9.2,A,0.9971,240.0,6.6,6.4,0.34,3.42,0.18,0.082,47.0,0,1,1
233,1.13,12.0,B,0.9962,18.0,9.4,2.4,0.27,3.2,0.53,0.074,6.0,1,0,0
234,0.5,9.4,A,0.99489,132.0,6.0,7.7,0.25,3.06,0.28,0.053,37.0,0,1,1
235,0.54,9.2,A,1.0012,231.0,8.3,19.8,0.21,2.99,0.49,0.054,50.0,0,1,1
236,0.61,9.5,B,0.9969,126.0,6.8,3.8,0.63,3.28,0.12,0.099,16.0,0,0,0
237,0.38,12.6,A,0.98862,90.0,6.0,1.1,0.22,3.22,0.28,0.034,47.0,0,1,1
238,0.6,10.2,A,0.9974,178.0,7.7,10.0,0.39,3.26,0.34,0.056,35.0,0,1,1
239,0.75,10.3,A,0.9932,109.0,7.6,1.4,0.16,3.11,0.44,0.043,25.0,0,1,1
240,0.56,11.7,A,0.99067,132.0,7.1,1.3,0.17,3.11,0.43,0.023,33.0,0,1,1
241,0.47,9.3,A,0.9953,222.0,6.0,6.8,0.28,3.19,0.49,0.048,61.0,0,1,1
242,0.84,11.2,B,0.99438,22.0,6.9,2.0,0.51,3.4,0.23,0.072,13.0,0,0,0
243,0.58,10.9,B,0.99517,14.0,7.1,2.2,0.47,3.4,0.0,0.067,7.0,0,0,0
244,0.42,10.1,A,0.995,123.0,5.9,7.4,0.19,3.49,0.26,0.034,33.0,0,1,1
245,0.41,10.7,A,0.9916,111.0,6.8,1.2,0.21,3.13,0.74,0.047,25.0,0,1,1
246,0.38,9.5,A,0.994,96.0,6.9,1.4,0.32,3.22,0.16,0.051,15.0,0,1,1
247,0.44,8.8,A,0.99779,153.0,7.5,10.6,0.24,3.16,0.62,0.045,51.0,0,1,1
248,0.64,9.5,A,0.99776,210.0,7.7,10.0,0.43,3.02,0.37,0.169,22.0,0,1,1
249,0.69,11.2,B,0.994,30.0,7.9,1.6,0.19,3.29,0.42,0.057,18.0,0,0,0
250,0.81,10.4,A,0.9952,187.0,6.7,2.4,0.16,3.62,0.49,0.046,57.0,0,1,1
251,0.37,8.8,A,1.0001,138.0,6.5,17.1,0.22,3.3,0.25,0.05,44.0,0,1,1
252,0.45,9.4,A,0.99582,182.0,6.8,6.2,0.26,3.21,0.48,0.049,55.0,0,1,1
253,0.51,9.0,A,0.9978,115.0,6.1,15.0,0.36,3.15,0.58,0.044,42.0,0,1,1
254,0.78,11.4,A,0.993,78.0,7.1,3.6,0.19,2.91,0.28,0.033,16.0,0,1,1
255,0.51,13.4,A,0.99,85.0,6.6,2.8,0.42,3.28,0.33,0.034,15.0,0,1,1
